898801410675134345	898801410675134345
898801490263012355	898801490263012355
898801320381847557	898801320381847557
898801320381928379	898801320381928379
898801320381928356	898801320381928356
898801320382012674	898801320382012674
898801260501600364	898801260501600364
898801320382183125	898801320382183125
898801440975179694	898801440975179694
898801320382183150	898801320382183150
898801320382183746	898801320382183746
898801320381731174	898801320381731174
898801370273946471	898801370273946471
898801670418083640	898801670418083640
898801670418083641	898801670418083641
898801370384317796	898801370384317796
898801320381636902	898801320381636902
898801670418083654	898801670418083654
212100008988012704918960015F 212100008988012704918963001F
670418083654	670418083654
